epoch,d_loss,g_loss,d_real,d_fake,pixel,perceptual,gan,w_pixel,w_perceptual,w_gan,PSNR,phase
12,0.0294959067981051,1.7250164419996972,0.6635280639736676,0.0519902601828981,0.1302807965115004,1.6929551152621998,6.151706344941083,0.001302807965115,1.6929551152621998,0.0307585317247054,13.89137540568818,1
13,0.0063434839394176,1.7050179009344064,0.7623925609331504,0.0516150702195077,0.1274072979302967,1.6686439631032008,7.019972894705978,0.0012740729793029,1.6686439631032008,0.0350998644735298,13.39595346737511,1
14,0.0265389359008301,1.7320833393171722,0.6219730685812002,0.085926240403091,0.1195922796340549,1.7011908713509054,5.939310083202288,0.0011959227963405,1.7011908713509054,0.0296965504160114,14.117122447833422,1
15,0.0414897682077899,1.6956800689884262,0.6746645598471457,0.1148425897676954,0.1080634802872059,1.6635503301433487,6.20982215685003,0.001080634802872,1.6635503301433487,0.0310491107842501,14.135738017198106,1
16,0.0165967653641322,1.668507265109642,0.5019224126111058,0.0422366541851992,0.1094165856347364,1.6364516767801025,6.192283578947479,0.0010941658563473,1.6364516767801025,0.0309614178947373,14.02248368485064,1
17,0.0106994838109077,1.658610458467521,0.5836972138095721,0.0497364127920317,0.1104584381568665,1.6213841414919086,7.224349540822646,0.0011045843815686,1.6213841414919086,0.0361217477041132,14.08473720375112,1
18,0.0024145656043758,1.6649101411595064,0.6508807005251155,0.0133776633542855,0.1109263382705987,1.6231140950146845,8.137356094285554,0.0011092633827059,1.6231140950146845,0.0406867804714277,14.063031880030747,1
19,0.0125675636718013,1.6658723588083304,0.5221953345234415,0.0326327738293555,0.1019050135624175,1.6273516463298423,7.500330677219465,0.0010190501356241,1.6273516463298423,0.0375016533860973,13.993040377977309,1
20,0.0150359172530443,1.6649986972995834,0.5745350296481275,0.0587209978437064,0.100198347194522,1.623427765042174,8.113791419010536,0.0010019834719452,1.623427765042174,0.0405689570950526,13.927727259667526,1
21,0.0171914401857351,1.6682248746647554,0.6453615369266081,0.065110622224964,0.0944321165774382,1.6288835698483035,7.679396236644072,0.0009443211657743,1.6288835698483035,0.0383969811832203,13.987071513607658,1
22,0.003801926131678,1.6875985930947697,0.669746110571877,0.009580615123388,0.0914632201779122,1.641534826334785,9.029828235214833,0.0009146322017791,1.641534826334785,0.0451491411760741,13.569870498920778,1
23,0.0420685824889968,1.6745784680048623,0.6255789080922327,0.1407474723678651,0.0965279327595935,1.642088434275459,6.304952280194152,0.0009652793275959,1.642088434275459,0.0315247614009707,13.901540213476252,1
24,0.0054688889564097,1.658158400479485,0.8353430514826494,0.1325161531447734,0.0960775377119288,1.6154803481756472,8.343455099592022,0.0009607753771192,1.6154803481756472,0.0417172754979601,13.532777677535536,1
25,0.0022907122425285,1.6831701619952333,0.7268725658456484,0.0430707625949734,0.0983930910919226,1.6389307905645931,8.651088621102128,0.0009839309109192,1.6389307905645931,0.0432554431055106,13.70680209912112,1
26,0.006316488700267,1.661611503245784,0.7015031742790312,0.0549547249166589,0.0973792916127279,1.6151977964476043,9.087981345606783,0.0009737929161272,1.6151977964476043,0.0454399067280339,13.995066433831957,1
27,0.040600161601141,1.6521200035132615,0.5119849009274998,0.0680581641090433,0.0946910231575077,1.6159421626259298,7.046185904858159,0.000946910231575,1.6159421626259298,0.0352309295242907,13.82520572550784,1
28,0.0341800443753063,1.6353029503541834,0.4087293007794548,0.0280282464273292,0.1019792771514724,1.5955173361535169,7.753164656022015,0.0010197927715147,1.5955173361535169,0.03876582328011,13.98491095809063,1
29,0.0077036142443901,1.6499594777238136,0.64485056932066,0.0305244253458131,0.1004920505425509,1.602561590718288,9.278595438190536,0.0010049205054255,1.602561590718288,0.0463929771909526,13.79575497833052,1
30,0.0014760932516247,1.6456381865576202,0.6755410358309746,0.0108974790364656,0.0938926606493837,1.6003956958359362,8.8607128461202,0.0009389266064938,1.6003956958359362,0.044303564230601,13.49222994009244,1
31,0.0084141642597102,1.6187213893030203,0.6441853857991815,0.0477548266577536,0.093195370014976,1.5798692282508402,7.584040305193732,0.0009319537001497,1.5798692282508402,0.0379202015259686,13.016823116574814,1
